image,name,stock,price,categorie,date_pub
images/f1.jpg,Ventilateur Tour Silencieux,25,59.99,Ventilateurs,2025-07-01
images/f2.jpg,Ventilateur sur Pied Puissant,15,75.00,Ventilateurs,2025-06-20
images/f3.jpg,Ventilateur de Bureau Compact,40,34.50,Ventilateurs,2025-05-15
images/f4.jpg,Climatiseur Portable 12000 BTU,10,299.99,Climatisation,2025-07-05
images/f5.jpg,Humidificateur Ultrasonique,30,45.00,Accessoires,2025-07-10
images/f6.jpg,Déshumidificateur Maison,12,150.00,Accessoires,2025-06-30
images/f7.jpg,Filtre à Air HEPA,50,20.00,Accessoires,2025-05-20
images/f8.jpg,Ventilateur de Plafond LED,18,120.00,Ventilateurs,2025-06-15
images/f9.jpg,Climatiseur Split 9000 BTU,8,350.00,Climatisation,2025-07-12
images/f10.jpg,Filtre Anti-poussière pour Clim,60,15.00,Accessoires,2025-07-01
images/f11.jpg,Refroidisseur d'Air Portable,22,80.00,Climatisation,2025-06-25
images/f12.jpg,Mini Ventilateur USB,100,12.99,Ventilateurs,2025-05-10
